id,id_kompetisi,capaian,skala_kompetisi,kategori_peserta,waktu_selesai,last_update,waktu_mulai,nama_kegiatan,jenis_kegiatan,lembaga_penyelenggara,kategori_capaian,kategori_penghargaan,is_pusprenas,status_validasi
5694,EE507786-66B6-4FE1-AC35-9C493413038B,Juara 2/perak,Regional,Individu,2022-11-17,2023-12-22,2022-11-07,Pekan olaharaga Daerah Jawa Barat,Olahraga,Pemerintah Daerah Jawa Barat,Juara,Juara 2,0,2
5695,9E0A8F41-927B-4772-90C1-B79FDF7C82D5,Juara 3/perunggu,Nasional,Individu,2021-11-20,2023-12-22,2021-11-17,"Lomba Karya Esai Nasional dengan tema ""Menelisik Potensi Kualitas Susu Segar Dalam Negeri""",Lomba Mandiri atau Umum,UKM Kewirausahaan FISIP Universitas Jember,Juara,Juara 3,0,2
5696,487A3A2C-BFFA-4B99-B783-9EB7CC655AA8,Juara 2/perak,Nasional,Kelompok,2023-01-23,2023-12-22,2022-12-03,Rendering Challenge Archivolks 2023,Lomba Mandiri atau Umum,"Himpunan Mahasiswa Arsitektur ""Widyastana"" UPN Veteran Jawa Timur",Juara,Juara 2,0,2
5697,CADDC1EF-412E-4B13-9A3D-E27EF89BB71E,Finalis,Nasional,Individu,2021-09-25,2023-12-22,2021-08-17,Kompetisi Esai dan Poster Nasional LPM FMIPA Universitas Brawijaya,Lomba Mandiri atau Umum,Universitas Brawijaya,Apresiasi,Apresiasi,0,2
5698,A2706F31-18DC-4BBD-9DEA-9F78545007CB,Peserta Liga PKM ITS,Lokal,Kelompok,2023-04-30,2023-12-22,2022-02-01,LIGA PKM 2022,Program Kreativitas Mahasiswa (PKM),Direktur Kemahasiswaan ITS,Apresiasi,Apresiasi,1,2
5699,ABD2EE23-0E3A-46A7-A73D-A1B4A78B505D,Peserta Liga PKM ITS,Lokal,Individu,2023-03-25,2023-12-22,2023-01-26,Liga PKM ITS,Program Kreativitas Mahasiswa (PKM),Direktur Kemahasiswaan,Apresiasi,Apresiasi,1,2
5700,52E710AA-B124-4B76-B3BA-9362F26407B1,Proposal didanai,Nasional,Kelompok,2021-09-22,2023-12-22,2021-02-28,Pekan Kreativitas Mahasiswa Riset Ekstrakta,Program Kreativitas Mahasiswa (PKM),"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Apresiasi,Apresiasi,1,2
5701,9BB8E021-0CF5-4156-8F88-A2328CE34049,Peserta,Nasional,Individu,2023-02-08,2023-12-22,2023-01-09,Lomba Poster Dies Natalis DKV ITS 2023,Lomba Mandiri atau Umum,DKV ITS,Apresiasi,Apresiasi,0,2
5702,2E0676FA-147C-4DB8-A3EC-A3380CEE01E1,Peserta Liga PKM ITS,Lokal,Individu,2022-04-03,2023-12-22,2022-02-06,Liga Program Kreativitas Mahasiswa,Program Kreativitas Mahasiswa (PKM),Institut Teknologi Sepuluh Nopember,Apresiasi,Apresiasi,1,2
5703,F606192B-91FB-412F-9D0D-7738BE2F759D,Finalis,Internasional,Kelompok,2021-11-13,2023-12-22,2021-07-12,International Event of Technology and Scientific 2021,Lomba Mandiri atau Umum,Universitas Negeri Surabaya,Apresiasi,Apresiasi,0,2
5704,385840A1-C979-4A2F-90F7-9BE2204D77E5,Peserta,Nasional,Individu,2021-11-06,2023-12-22,2021-08-23,"NATIONAL CHAMPIONSHIP 2021 dengan Tema""MENTAL HEALTH AWARENESS DURING COVID-19 PANDEMIC IN SOCIETY""",Lomba Mandiri atau Umum,Universitas Negeri Surabaya,Apresiasi,Apresiasi,0,2
5705,59DF5EB1-6D3D-48B3-B210-AB7F35C8EB8A,Peserta,Nasional,Kelompok,2021-10-23,2023-12-22,2021-08-30,LKTI National Competetion of Food and Agriculture Innovation (NCFAI) 2021,Lomba Mandiri atau Umum,Universitas Sebelas Maret,Apresiasi,Apresiasi,0,2
5706,538E6974-7061-4E3D-9260-378D97F0FF75,Juara 3/perunggu,Internasional,Kelompok,2021-11-28,2023-12-22,2021-07-15,International Youth Bussines Competition,Lomba Mandiri atau Umum,Indonesian Young Scientist Association (IYSA),Juara,Juara 3,0,2
5707,F44FC623-C637-4B80-91CA-45DA6255B788,Proposal didanai,Nasional,Kelompok,2021-09-20,2023-12-22,2021-06-01,Program Kreativitas Mahasiswa bidang Riset Eksaktak,Program Kreativitas Mahasiswa (PKM),Kemdikbud,Apresiasi,Apresiasi,1,2
5708,D6F875C2-23E0-4950-A27F-75646293F9D6,Juara 1/emas,Internasional,Kelompok,2021-11-21,2023-12-22,2021-11-20,INTERNATIONAL INVENTION & INNOVATION COMPETITION (I3C) 2021,Lomba Mandiri atau Umum,"Malaysia Innovation, Invention and Creativity Association (MIICA)",Juara,Juara 1,0,2
5709,6608317F-CBC4-4EAD-8545-90AC82F88988,Proposal didanai,Nasional,Kelompok,2021-09-20,2023-12-22,2021-06-01,Program Kreativitas Mahasiswa 2021,Program Kreativitas Mahasiswa (PKM),"Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi - Ditjen Dikti, Kemendikbud RI",Apresiasi,Apresiasi,1,2
5710,6DF90688-557E-415B-8881-A967A5611589,Juara 3/perunggu,Lokal,Kelompok,2021-10-02,2023-12-22,2021-08-27,Mathematic PKM Competition 2021,Program Kreativitas Mahasiswa (PKM),ASCI HIMATIKA ITS Institut Teknologi Sepuluh Nopember,Juara,Juara 3,1,2
5711,0F08D6B5-9A6C-46F6-AD02-B789B49FD15A,Peserta,Nasional,Individu,2021-12-25,2023-12-22,2021-11-03,"Pagelaran Nasional Kebudayaan Jepang STBA JIA ""JIBUNKA 9""",Lomba Mandiri atau Umum,Sekolah TInggi Bahasa Asing JIA,Apresiasi,Apresiasi,0,2
5712,1B1478ED-45A3-45A9-95FC-BE3467457BD0,Juara 3/perunggu,Nasional,Individu,2021-10-09,2023-12-22,2021-09-03,Mechafest Lomba Essay,Lomba Mandiri atau Umum,Himpunan Mahasiswa Teknik Mekatronika Politeknik Enjinering Indorama,Juara,Juara 3,0,2
5713,336A3A0D-BE56-430D-B31A-EF32E5CC8A2F,Peserta Liga PKM ITS,Lokal,Individu,2021-11-07,2023-12-22,2021-11-06,Liga PKM IF ITS 2021,Program Kreativitas Mahasiswa (PKM),HMTC Progresif 2021,Apresiasi,Apresiasi,1,2
5714,65874008-04ED-4E62-93DC-F0E6A04B8019,Juara 1/emas,Nasional,Kelompok,2021-10-31,2023-12-22,2021-09-17,Civil Tender Competition Student Day Of Civil Engineering 2021,Lomba Mandiri atau Umum,Politeknik Negeri Malang,Juara,Juara 1,0,2
5715,F6107FFE-39DD-4443-A19E-F33EC6001111,Juara 2/perak,Nasional,Kelompok,2021-11-04,2023-12-22,2021-09-10,Diponegoro Science Competition,Lomba Mandiri atau Umum,Fakultas Sains dan Matematika Universitas Diponegoro,Juara,Juara 2,0,2
5716,DF8BED13-98E4-4BD2-B699-F7945333C866,Juara 2/perak,Nasional,Kelompok,2021-12-18,2023-12-22,2021-11-15,Lomba HIPMI Business Competition 2021 Telkom University,Lomba Mandiri atau Umum,HIPMI Telkom University,Juara,Juara 2,0,2
5717,EF884EB3-FBE1-40A5-BB84-A37ABA1F77F7,Juara 1/emas,Nasional,Kelompok,2023-11-12,2023-12-22,2023-08-01,Bioversary IPB 2023,Lomba Mandiri atau Umum,Institut Pertanian Bogor,Juara,Juara 1,0,2
5718,7C979473-4427-453A-ABD6-01CAFEF9F710,Juara harapan,Nasional,Individu,2021-12-11,2023-12-22,2021-12-04,Mathematics Intelligence Competition (MATIC) 2021,Lomba Mandiri atau Umum,IKAHIMATIKA Wilayah V,Apresiasi,Apresiasi,0,2
5719,7749E718-80B0-4D79-A82F-A46D796F82CC,Peserta Liga PKM ITS,Lokal,Kelompok,2022-04-03,2023-12-22,2022-02-06,LIGA PKM ITS 2022,Program Kreativitas Mahasiswa (PKM),Ksatria Sepuluh Nopember,Apresiasi,Apresiasi,1,2
